checked_at,university_name,region,city,title,url,source_type,source_query,notice_date,application_start_date,application_end_date,deadline_status,registration_score,external_score,computer_score,freshness_score,grade,external_applicant_status,computer_course_status,possible_departments,possible_computer_courses,course_evidence_url,course_evidence_text,attachment_urls,matched_keywords,reason,is_new
2026-06-17T13:18:10+09:00,아주대학교,경기,수원,본문 바로가기,https://www.ajou.ac.kr/kr/ajou/notice.do,대학 공식 게시판 직접 크롤링,입학처 공지,2026-06-15,2026-07-01,2026-07-08,접수예정,250,0,35,45,B,확인 필요,가능성 높음,,,,,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370361&attachNo=328277; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370302&attachNo=328222; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370302&attachNo=328223; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370302&attachNo=328224; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370240&attachNo=328159; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369635&attachNo=327449; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369635&attachNo=327450; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369394&attachNo=327211; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369394&attachNo=327212; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369106&attachNo=326883; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369106&attachNo=326884; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=364834&attachNo=322620; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=364834&attachNo=327935; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=363358&attachNo=321405; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=363358&attachNo=321406; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=363358&attachNo=321407; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=363358&attachNo=321408; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=324578&attachNo=292665; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370433&attachNo=328388; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370423&attachNo=328359; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370422&attachNo=328358; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370412&attachNo=328356,시간제등록생; 시간제등록; 시간제등록생 모집요강; 시간제등록생 모집; 모집요강; 1학기; 2학기; 캠프; AI,공식 게시판에서 유력 후보가 발견되었으나 외부 신청 또는 컴퓨터 과목 여부 추가 확인 필요. 현재 상태: 접수예정.,True
2026-06-17T13:18:10+09:00,아주대학교,경기,수원,학사일정,https://www.ajou.ac.kr/kr/bachelor/schedule.do,대학 공식 게시판 직접 크롤링,입학처 공지,2026-06-15,2027-01-01,2027-02-08,접수예정,20,0,35,45,C,확인 필요,가능성 높음,,,,,,1학기; 2학기; 전기; 후기; 편입학; AI,"참고 후보입니다. 등록 관련 점수 20, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,아주대학교,경기,수원,[공지] [학부] 2026-2학기 시간제등록생 신청 기간 안내(07.01.~07.08.),https://www.ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=370361&article.offset=0&articleLimit=10,대학 공식 게시판 직접 크롤링,입학처 공지,2026-06-15,2026-07-01,2026-07-08,접수예정,275,0,0,45,B,확인 필요,확인 필요,소프트웨어학과,인공지능,https://www.ajou.ac.kr,아주대학교 본문 바로가기 주메뉴 바로가기 서브메뉴 바로가기 • 2026학년도 아주대학교 정규직원 채용 공고 >> 닫기 HOME LOGIN PORTAL 발전기금 LANGUAGE ENGLISH CHINESE 통합검색 검색어 입력 검색 대학정보 대학정보 대학소개 이념 역사 연혁 교육목표/인재상 개교 50주년 아주비전 5.0 홍보영상 대학상징 상징 UI 50주년 엠블럼/슬로건 전용서체 캐릭터 대학 상징 아카이브 대학현황 대학기구 규정 통계 대학정보공개 총장실 인사말 약력 연설문 총장레터 동정 역대총장 캠퍼스 안내 캠퍼스맵 오시는길 교내전화번호↗ 주차안내 학교법인 이사장 연혁/조직 이사회 입학 입학 대학 학부 입학(입학처)↗ …,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=file-download&articleNo=370361&attachNo=328277,시간제등록생; 시간제등록; 시간제등록생 모집요강; 시간제등록생 모집; 모집요강; 2학기,공식 게시판에서 유력 후보가 발견되었으나 외부 신청 또는 컴퓨터 과목 여부 추가 확인 필요. 현재 상태: 접수예정.,True
2026-06-17T13:18:10+09:00,아주대학교,경기,수원,2026학년도 2학기 시간제등록생 모집요강.pdf,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370361&attachNo=328277,대학 공식 게시판 직접 크롤링,입학처 공지,2026-06-15,,,날짜확인필요,275,0,55,10,B,확인 필요,가능성 높음,,,,,,시간제등록생; 시간제등록; 시간제등록생 모집요강; 시간제등록생 모집; 모집요강; 2학기; AI; IT,공식 게시판에서 유력 후보가 발견되었으나 외부 신청 또는 컴퓨터 과목 여부 추가 확인 필요. 현재 상태: 날짜확인필요.,True
2026-06-17T13:18:10+09:00,아주대학교,경기,수원,[공지] [학사] 2026-2학기 휴학/복학 신청 안내,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=view&articleNo=370302&article.offset=0&articleLimit=10,대학 공식 게시판 직접 크롤링,입학처 공지,2026-06-15,2026-07-01,2026-07-08,접수예정,125,0,0,45,B,확인 필요,확인 필요,소프트웨어학과,인공지능,https://www.ajou.ac.kr,아주대학교 본문 바로가기 주메뉴 바로가기 서브메뉴 바로가기 • 2026학년도 아주대학교 정규직원 채용 공고 >> 닫기 HOME LOGIN PORTAL 발전기금 LANGUAGE ENGLISH CHINESE 통합검색 검색어 입력 검색 대학정보 대학정보 대학소개 이념 역사 연혁 교육목표/인재상 개교 50주년 아주비전 5.0 홍보영상 대학상징 상징 UI 50주년 엠블럼/슬로건 전용서체 캐릭터 대학 상징 아카이브 대학현황 대학기구 규정 통계 대학정보공개 총장실 인사말 약력 연설문 총장레터 동정 역대총장 캠퍼스 안내 캠퍼스맵 오시는길 교내전화번호↗ 주차안내 학교법인 이사장 연혁/조직 이사회 입학 입학 대학 학부 입학(입학처)↗ …,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=file-download&articleNo=370302&attachNo=328222; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=file-download&articleNo=370302&attachNo=328223; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=file-download&articleNo=370302&attachNo=328224,시간제등록생; 시간제등록; 2학기,공식 게시판에서 유력 후보가 발견되었으나 외부 신청 또는 컴퓨터 과목 여부 추가 확인 필요. 현재 상태: 접수예정.,True
2026-06-17T13:18:10+09:00,아주대학교,경기,수원,첨부 1. 휴학연장 및 휴학종류 변경 매뉴얼.pdf,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370302&attachNo=328222,대학 공식 게시판 직접 크롤링,입학처 공지,2026-06-15,,,날짜확인필요,0,0,55,10,C,확인 필요,가능성 높음,,,,,,AI; IT,"참고 후보입니다. 등록 관련 점수 0, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,아주대학교,경기,수원,본문 바로가기,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=list&srCategoryId1=1,대학 공식 게시판 직접 크롤링,학사 공지,2026-06-15,2026-07-01,2026-07-08,접수예정,250,0,35,45,B,확인 필요,가능성 높음,,,,,https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370361&attachNo=328277; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370302&attachNo=328222; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370302&attachNo=328223; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370302&attachNo=328224; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370240&attachNo=328159; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369635&attachNo=327449; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369635&attachNo=327450; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369394&attachNo=327211; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369394&attachNo=327212; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369106&attachNo=326883; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=369106&attachNo=326884; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=364834&attachNo=322620; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=364834&attachNo=327935; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=363358&attachNo=321405; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=363358&attachNo=321406; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=363358&attachNo=321407; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=363358&attachNo=321408; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=324578&attachNo=292665; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370433&attachNo=328388; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370423&attachNo=328359; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370422&attachNo=328358; https://www.ajou.ac.kr/kr/ajou/notice.do?mode=download&articleNo=370412&attachNo=328356,시간제등록생; 시간제등록; 시간제등록생 모집요강; 시간제등록생 모집; 모집요강; 1학기; 2학기; 캠프; AI,공식 게시판에서 유력 후보가 발견되었으나 외부 신청 또는 컴퓨터 과목 여부 추가 확인 필요. 현재 상태: 접수예정.,True
2026-06-17T13:18:10+09:00,서울과학기술대학교,서울,서울,학사안내,https://www.seoultech.ac.kr/life/info,대학 공식 게시판 직접 크롤링,일반 공지,,,,날짜확인필요,40,0,785,10,C,확인 필요,가능성 높음,,,,,https://www.seoultech.ac.kr/storage/www/ckfinder/files/7DC2EBA212A745619A09AB505773D81F.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/09C20E3AFED044A9BB7C5E97636E3AFA.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/F7DA75BCE33F437D9ADB93FFDF545BBD.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/CA859F6CA02744F8897EB7372666F6DD.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/C606E1B3964E406A8D136534A6E9F27D.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/1C4F40C0AA58400ABAA8CD7F0A36D367.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/692204BD510A459B94147CC652E26FFB.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/E4613FA626994E9599F72C3FFF71CB10.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/A2F8CD2B85334739946F9E37D5C52361.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/3F2107ED5C5247A39A06C28490DC098E.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/F88A9CD42AEA47E4BD620D5791582BE7.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/E6A2FF7B84DB4B2EAC60EF77579DC98F.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/78B637A290334887995619E0054EEF67.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/2B006AFB12354132B312928366E7CEDD.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/A883BD013B0D46939A67E13582305A60.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2024_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2023_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2022_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2021_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2020_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2019_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2018_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2017_curiculum.pdf,시간제등록; 전기; 평생교육원; 대학원; 컴퓨터공학; 컴퓨터공학과; 소프트웨어; AI; 인공지능; 데이터사이언스; 빅데이터; 데이터분석; 사이버보안; IT; 프로그래밍; Python; Java; C언어; C++; 알고리즘; 자료구조; 운영체제; 데이터베이스; 네트워크; 웹프로그래밍; 머신러닝,"참고 후보입니다. 등록 관련 점수 40, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,서울과학기술대학교,서울,서울,학사행정,https://www.seoultech.ac.kr/life/info/college/schedule/,대학 공식 게시판 직접 크롤링,일반 공지,,,,날짜확인필요,40,0,785,10,C,확인 필요,가능성 높음,,,,,https://www.seoultech.ac.kr/storage/www/ckfinder/files/7DC2EBA212A745619A09AB505773D81F.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/09C20E3AFED044A9BB7C5E97636E3AFA.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/F7DA75BCE33F437D9ADB93FFDF545BBD.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/CA859F6CA02744F8897EB7372666F6DD.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/C606E1B3964E406A8D136534A6E9F27D.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/1C4F40C0AA58400ABAA8CD7F0A36D367.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/692204BD510A459B94147CC652E26FFB.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/E4613FA626994E9599F72C3FFF71CB10.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/A2F8CD2B85334739946F9E37D5C52361.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/3F2107ED5C5247A39A06C28490DC098E.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/F88A9CD42AEA47E4BD620D5791582BE7.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/E6A2FF7B84DB4B2EAC60EF77579DC98F.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/78B637A290334887995619E0054EEF67.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/2B006AFB12354132B312928366E7CEDD.pdf; https://www.seoultech.ac.kr/storage/www/ckfinder/files/A883BD013B0D46939A67E13582305A60.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2024_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2023_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2022_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2021_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2020_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2019_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2018_curiculum.pdf; https://www.seoultech.ac.kr/storage/www/life/info/college/schedule/2017_curiculum.pdf,시간제등록; 전기; 평생교육원; 대학원; 컴퓨터공학; 컴퓨터공학과; 소프트웨어; AI; 인공지능; 데이터사이언스; 빅데이터; 데이터분석; 사이버보안; IT; 프로그래밍; Python; Java; C언어; C++; 알고리즘; 자료구조; 운영체제; 데이터베이스; 네트워크; 웹프로그래밍; 머신러닝,"참고 후보입니다. 등록 관련 점수 40, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
2026-06-17T13:18:10+09:00,서울과학기술대학교,서울,서울,신입학,https://m-disciplinary.seoultech.ac.kr/admission/freshman,대학 공식 게시판 직접 크롤링,미래융합대학 공지,,,,날짜확인필요,-25,0,230,10,C,확인 필요,가능성 높음,,,,,,전기; 대학원; 컴퓨터공학; 컴퓨터공학과; AI; 인공지능; 데이터사이언스; IT,"참고 후보입니다. 등록 관련 점수 -25, 외부 신청 확인 필요, 컴퓨터 과목 가능성 높음.",True
